"halshareWearerName","halshareId","datetime","temperature"
"test","2CA47633-6714-12F0-F7A0-C78F81C5A61A","2025/11/13 19:18:30",26.4375
"test","2CA47633-6714-12F0-F7A0-C78F81C5A61A","2025/11/13 19:19:30",26.0
"test","2CA47633-6714-12F0-F7A0-C78F81C5A61A","2025/11/13 19:20:30",25.5625
"test","2CA47633-6714-12F0-F7A0-C78F81C5A61A","2025/11/13 19:21:30",25.1875
"test","2CA47633-6714-12F0-F7A0-C78F81C5A61A","2025/11/13 19:22:30",25.0
"test","2CA47633-6714-12F0-F7A0-C78F81C5A61A","2025/11/13 19:23:30",25.0
"test","2CA47633-6714-12F0-F7A0-C78F81C5A61A","2025/11/13 19:24:30",25.0
"test","2CA47633-6714-12F0-F7A0-C78F81C5A61A","2025/11/13 19:25:30",25.0
"test","2CA47633-6714-12F0-F7A0-C78F81C5A61A","2025/11/13 19:26:30",25.0
"test","2CA47633-6714-12F0-F7A0-C78F81C5A61A","2025/11/13 19:27:30",25.0
"test","2CA47633-6714-12F0-F7A0-C78F81C5A61A","2025/11/13 19:28:30",25.0
"test","2CA47633-6714-12F0-F7A0-C78F81C5A61A","2025/11/13 19:29:30",25.0
"test","2CA47633-6714-12F0-F7A0-C78F81C5A61A","2025/11/13 19:30:30",25.0
"test","2CA47633-6714-12F0-F7A0-C78F81C5A61A","2025/11/13 19:31:30",25.0
"test","2CA47633-6714-12F0-F7A0-C78F81C5A61A","2025/11/13 19:32:30",25.0
"test","2CA47633-6714-12F0-F7A0-C78F81C5A61A","2025/11/13 19:33:30",25.0
"test","2CA47633-6714-12F0-F7A0-C78F81C5A61A","2025/11/13 19:34:30",25.0
